number,close
0,20569.91992
1,20836.32813
2,21190.31641
3,20779.34375
4,22485.68945
5,23389.43359
6,23231.73242
7,23164.62891
8,22714.97852
9,22465.47852
10,22609.16406
11,21361.70117
12,21239.75391
13,22930.54883
14,23843.88672
15,23804.63281
16,23656.20703
17,23336.89648
18,23314.19922
19,22978.11719
20,22846.50781
21,22630.95703
22,23289.31445
23,22961.2793
24,23175.89063
25,23809.48633
26,23164.31836
27,23947.64258
28,23957.5293
29,24402.81836
30,24424.06836
31,24319.33398
32,24136.97266
33,23883.29102
34,23335.99805
35,23212.73828
36,20877.55273
37,21166.06055
38,21534.12109
39,21398.9082
40,21528.08789
41,21395.01953
42,21600.9043
43,20260.01953
44,20041.73828
45,20297.99414
46,19796.80859
47,20049.76367
48,20127.14063
49,19969.77148
50,19832.08789
51,19986.71289
52,19812.37109
53,18837.66797
54,19290.32422
55,19329.83398
56,21381.15234
57,21680.53906
58,21769.25586
59,22370.44922
60,20296.70703
61,20241.08984
62,19701.21094
63,19772.58398
64,20127.57617
65,19419.50586
66,19544.12891
67,18890.78906
68,18547.40039
69,19413.55078
70,19297.63867
71,18937.01172
72,18802.09766
73,19222.67188
74,19426.7207
75,19573.05078
76,19431.78906
77,19312.0957
78,19044.10742
79,19623.58008
80,20336.84375
81,20160.7168
82,19955.44336
83,19546.84961
84,19416.56836
85,19446.42578
86,19141.48438
87,19051.41797
88,19157.44531
89,19382.9043
90,19185.66
